license_number,ice_citation_count,first_citation,last_citation,repeat_violations,warnings_issued,corrected_onsite,mold_black,mold_pink,scoop_issue,bin_soiled,latest_observation,latest_citation_date,business_name,city,days_since_citation
6207683,3,2025-11-10,2026-01-26,0,4,1,0,3,1,0,"Intermediate - - From initial inspection : Intermediate - Food-contact surface soiled with food debris, mold-like substance or slime. Ice machine accumulated with pink substance. Cutting board stained on cook line. **Warning**     - From follow-up inspection 2026-01-14:  **Time Extended**     - From follow-up inspection 2026-01-26:  **Time Extended**",2026-01-26,SPORTSCASTERS,LARGO,109
6208147,2,2025-07-01,2025-07-02,0,2,0,2,0,0,2,Basic - - From initial inspection : Basic - Accumulation of black/green mold-like substance in the interior of the ice machine/bin. Interior of ice machine soiled with black mold like debris.  **Warning**     - From follow-up inspection 2025-07-02:  **Time Extended**,2025-07-02,KA'TIKI,TREASURE ISLAND,317
6208151,1,2026-02-24,2026-02-24,0,0,1,1,0,0,1,Basic - Accumulation of black/green mold-like substance in the interior of the ice machine/bin. **Corrected On-Site**,2026-02-24,FRENCHY'S SOUTH BEACH CAFE,CLEARWATER BEACH,80
6208208,3,2026-01-06,2026-03-10,0,3,0,0,0,0,0,"Basic - - From initial inspection : Basic - Cutting board has cut marks and is no longer cleanable.
-cutting board on prep table near mixer
-cutting board on deli cooler near ice machine  **Warning**     - From follow-up inspection 2026-01-07:  **Time Extended**     - From follow-up inspection 2026-03-10:  **Time Extended**",2026-03-10,CHUCK E CHEESE'S 460,ST. PETERSBURG,66
6208281,2,2025-09-23,2025-09-24,2,7,0,6,0,1,0,"Basic - - From initial inspection : Basic - Wall soiled with accumulated grease, food debris, and/or dust.
-wall under 3 compartment sink soiled with black mold like substance and grease/ debris  **Warning**     - From follow-up inspection 2025-09-24:  **Time Extended**",2025-09-24,MR SUBMARINE,CLEARWATER,233
6208344,2,2026-03-16,2026-03-17,0,2,0,0,2,0,2,Basic - - From initial inspection : Basic - Accumulation of pink mold-like substance in the interior of the ice machine/bin. **Warning**     - From follow-up inspection 2026-03-17:  **Time Extended**,2026-03-17,METRO DINER PALM HARBOR,PALM HARBOR,59
6208379,3,2025-07-08,2026-02-02,2,2,0,3,2,0,1,Basic - - From initial inspection : Basic - Accumulation of black/pink mold-like substance in the interior of the ice machine. **Repeat Violation** **Warning**     - From follow-up inspection 2026-02-02:  **Time Extended**,2026-02-02,CARMELITAS MEXICAN REST,ST PETERSBURG,102
6208429,1,2025-12-15,2025-12-15,0,0,0,0,0,0,0,"Intermediate - Handwash sink used for purposes other than handwashing.
- pitcher stored inside hand wash sink next to ice machine in office area . Reviewed with manager hand wash sinks are for washing hands only",2025-12-15,SUNSET LOUNGE,CLEARWATER,151
6208438,1,2025-12-17,2025-12-17,0,0,0,1,0,0,0,Basic - Accumulation of black  mold-like substance in the interior of the ice machine near mop sink,2025-12-17,BENEDICTS,CLEARWATER,149
6208546,1,2025-09-05,2025-09-05,0,0,0,1,0,0,1,"Basic - Accumulation of black/green mold-like substance in the interior of the ice machine/bin.

Ice bin at server wait station with black mold-like substance.",2025-09-05,HARVEY'S 4TH ST GRILL,ST. PETERSBURG,252
6208551,4,2025-07-09,2025-10-22,4,3,0,4,0,0,4,Basic - - From initial inspection : Basic - Accumulation of black/green mold-like substance in the interior of the ice machine/bin. **Repeat Violation** **Warning**     - From follow-up inspection 2025-10-21:  **Time Extended**     - From follow-up inspection 2025-10-22:  **Time Extended**,2025-10-22,BAR 23FIFTY,PALM HARBOR,205
6208592,1,2025-12-17,2025-12-17,0,0,0,0,0,0,0,Intermediate - Food-contact surface soiled with food debris ice dispenser inside front counter.,2025-12-17,SUBWAY 780,PINELLAS PARK,149
6208650,1,2025-10-02,2025-10-02,0,0,0,1,0,0,1,"Basic - Accumulation of black/green mold-like substance in the interior of the ice machine/bin.
Interior soiled with lime scale and black mold like substance.",2025-10-02,GYROS AND SEAFOOD EXPRESS,SAINT PETERSBURG,225
6208861,2,2025-10-28,2026-03-09,0,0,2,0,0,2,0,"Basic - In-use ice scoop for ice machine located outside not stored in a protected manner between uses.
Ice scoop and ice buckets stored outside, removed **Corrected On-Site**",2026-03-09,SCULLEY'S,MADEIRA BEACH,67
6209036,1,2026-01-13,2026-01-13,0,0,0,1,0,0,2,"Basic - Accumulation of black/green mold-like substance in the interior of the ice machine/bin.
Interior of exterior ice machines soiled with mold like substance,",2026-01-13,MOLLY GOODHEADS,OZONA,122
6209142,1,2025-10-15,2025-10-15,1,0,0,1,0,0,1,"Basic - Accumulation of black/green mold-like substance in the interior of the ice machine/bin.
Ceiling of ice machine soiled **Repeat Violation**",2025-10-15,HAO WAH CHINESE RESTAURANT,PINELLAS PARK,212
6209226,1,2025-12-30,2025-12-30,0,0,0,0,0,0,0,Basic - Unprotected ice machine in a nonsecure area. Unlocked in back storage gated area  . Reviewed with manager .,2025-12-30,CLEARWATER FAMILY RESTAURANT,CLEARWATER,136
6209298,1,2026-03-18,2026-03-18,0,2,1,0,0,0,1,"Basic - Interior of ice machine/bin with rust that has pitted the surface
Interior of ice machine has rust pitted to surface. **Warning**",2026-03-18,TRATTORIA D'ANNA,DUNEDIN,58
6209304,1,2025-08-06,2025-08-06,0,0,1,1,0,0,1,Basic - Accumulation of black/green mold-like substance in the interior of the ice machine/bin. **Corrected On-Site**,2025-08-06,SCHOONER'S WEST BAY,LARGO,282
6209306,2,2025-11-06,2026-03-09,2,1,0,2,1,0,1,"Intermediate - Food-contact surface soiled with food debris, mold-like substance or slime.
Accumulation of pink and black mold like substance on the inside of the ice machine next back exit door to left side of kitchen. **Repeat Violation** **Warning**",2026-03-09,SHARKS BAR & GRILL,LARGO,67
6209365,1,2025-10-07,2025-10-07,0,0,0,1,0,0,1,Basic - Accumulation of black/green mold-like substance in the interior of the ice machine/bin.,2025-10-07,JIMMY GUANA'S BAR & GRILL,INDIAN ROCKS BCH,220
6209391,1,2026-01-13,2026-01-13,0,0,0,1,0,0,1,Basic - Accumulation of black/green mold-like substance in the interior of the ice machine/bin.,2026-01-13,LIBERTY LANES,LARGO,122
6209395,1,2025-07-07,2025-07-07,0,0,0,0,0,1,0,"Basic - Duct tape used to repair nonfood-contact surface.
Exterior of ice machine",2025-07-07,BROKE N BOARD,REDINGTON SHORES,312
6209402,2,2025-08-07,2025-11-12,1,0,1,2,0,3,3,"Basic - Accumulation of black/green mold-like substance in the interior of the ice machine/bin.
Soda lines in drink ice well behind bar soiled **Repeat Violation**",2025-11-12,ZOM HEE RESTAURANT,SEMINOLE,184
6209503,1,2025-07-31,2025-07-31,0,2,1,1,0,1,2,"Basic - In-use utensil in non-time/temperature control for safety food not stored with handle above top of food within a closed container.

Scoop used for rice bin, across from dish machine, without handle above the top of food. Manager corrected. **Corrected On-Site** **Warning**",2025-07-31,SIAM GARDEN THAI RESTAURANT,ST PETERSBURG,288
6209682,2,2025-08-13,2026-01-29,2,2,0,0,0,1,0,"Basic - Unprotected ice machine in a customer/nonsecure area.
Outdoor ice machine left unsecured when not in use in a customer accessible area **Repeat Violation** **Warning**",2026-01-29,MICKEY QUINNS IRISH PUB,SEMINOLE,106
6209708,1,2025-11-19,2025-11-19,0,0,0,1,0,0,1,"Basic - Accumulation of black/green mold-like substance in the interior of the ice machine/bin.

Interior of ice machine with black mold like substance",2025-11-19,HARDEE'S RESTAURANT #1500782,ST. PETERSBURG,177
6209759,1,2025-09-22,2025-09-22,0,0,0,0,0,0,1,Basic - Duct tape used to repair nonfood-contact surface. Door of walk in cooler near handle. Handle of microwave at cook line.  Ice bin handle front service station.,2025-09-22,ATHENIAN GARDEN,ST. PETERSBURG,235
6209941,1,2025-07-10,2025-07-10,0,0,1,1,0,0,0,"Basic - -Accumulation of black mold-like substance in the interior of the ice machine. Manager protected ice and cleaned drop plate
- soiled ice chute at soda dispenser . Employee cleaned ice chute    **Corrected On-Site**",2025-07-10,THE HAMPTON AT CLEARWATER DINING ROOM,CLEARWATER,309
6210055,1,2025-12-11,2025-12-11,1,0,0,1,0,0,1,Basic - Accumulation of black/green mold-like substance in the interior of the ice machine/bin.,2025-12-11,FRABOTTA'S BEACH KITCHEN & SALTWATER HIPPIE BEACH BAR,MADEIRA BEACH,155
6210279,1,2026-01-07,2026-01-07,0,0,0,1,0,0,1,"Basic - Accumulation of black/green mold-like substance in the interior of the ice machine/bin.

Interior of ice chute on drink dispenser with black/green and red mold like substance.",2026-01-07,TACO BELL #029579,ST. PETERSBURG,128
6210333,1,2025-10-06,2025-10-06,0,0,1,1,1,0,0,"Basic - Black/pink mold-like substance in the interior of the ice machine.
Operator cleaned and sanitized.  **Corrected On-Site**",2025-10-06,MCDONALD'S #4122,ST. PETERSBURG,221
6210358,3,2025-09-29,2026-03-02,0,0,0,3,1,0,0,Basic - - From initial inspection : Basic - Accumulation of black mold-like substance in the interior of the ice machine near the top hinges and interior side area of door     - From follow-up inspection 2026-03-02: Employee in process of cleaning interior of ice machine at end of inspection  **Time Extended**,2026-03-02,JOHNNYS ITALIAN RESTAURANT,CLEARWATER,74
6210457,3,2025-11-17,2025-11-19,2,5,0,2,0,0,2,"High Priority - - From initial inspection : High Priority - Live, small flying insects found
2 live flies in kitchen flying around expo line.
1 live fly near mop sink. 
1 live fly in liquor storage room
1 live fly near 3 comp sink and ice machine.
Operator was able to kill one, none observed landing on food contact surfaces.  **Warning**     - From follow-up inspection 2025-11-18: 3 dead roaches on floor in dish storage area near walk in coolers
2 dead roaches in walk in cooler doorway under the door nearest the liquor storage room. 
1 live roach under dry storage outside liquor room
1 live roach in liquor storage room
2 live flies in warewash area near ice machine
Liquor storage room is located within a dry storage area next to a walk in cooler and dish storage area, there is a wall separating the dish machine area and the liquor storage room/dry storage area.
 **Admin Complaint**     - From follow-up inspection 2025-11-19: 1 live fly by hand wash sink next to grease drum near kitchen exit
1 live fly hand wash sink on expo line near drink station
1 live fly in office
1 live fly by shelf with to go boxes at end of expo line 
Operator killed three flies, cleaned and sanitized area  **Admin Complaint** **Corrective Action Taken**",2025-11-19,GLORY DAYS GRILL,ST. PETERSBURG,177
6210912,1,2025-09-22,2025-09-22,1,0,0,1,0,0,2,Basic - Interior of ice machine/bin with rust that has pitted the surface **Repeat Violation**,2025-09-22,DAIQUIRI SHAK RAW BAR AND GRILL,MADEIRA BEACH,235
6210947,2,2025-12-22,2025-12-22,0,0,1,2,0,0,2,"Basic - Observed: Accumulation of black mold-like substance in the interior of the ice bin. Employee cleaned during inspection.  **Corrected On
Site**
Priority: Basic",2025-12-22,MUGS JR DRIVE THRU GRILL,CLEARWATER,144
6211181,1,2026-03-31,2026-03-31,0,0,0,1,0,0,1,"Basic - Accumulation of black/green mold-like substance in the interior of the ice machine/bin.
White ice plate inside machine soiled.",2026-03-31,WATER COLOUR STEAK HOUSE AND GRILL,CLEARWATER BEACH,45
6211226,1,2026-03-16,2026-03-16,0,0,0,0,0,0,0,"Basic - Floor area(s) covered with standing water.
Standing water on floor near ice machine in between exterior and interior bars.",2026-03-16,CROWN AND BULL,DUNEDIN,60
6211228,1,2026-02-11,2026-02-11,0,0,0,0,0,0,0,"Basic - Floor soiled/has accumulation of debris.
Floor around bar ice machine soiled.",2026-02-11,COLUMBIA RESTAURANT,CLEARWATER BCH,93
6211466,1,2025-12-10,2025-12-10,0,0,1,1,0,0,0,"High Priority - Live, small flying insects found
2 live flies behind bar near register area
1 live fly in ice machine area next to soda machines
Operator cleaned area, killed all flies **Corrected On-Site**",2025-12-10,O'MADDYS BAR & GRILLE,GULFPORT,156
6211522,1,2025-09-09,2025-09-09,0,0,0,0,0,0,0,"Basic - Floor area(s) covered with standing water and debris.

Standing water on floor in front of ice machine.

Grease accumulation observed under fryers on cook-line.",2025-09-09,SAM'S GYROS & SEAFOOF,ST. PETERSBURG,248
6211628,1,2026-01-22,2026-01-22,0,0,0,1,0,0,1,Basic - Accumulation of black/green mold-like substance in the interior of the ice machine/bin.,2026-01-22,SLOPPY JOE'S,TREASURE ISLAND,113
6211858,1,2025-10-23,2025-10-23,0,0,0,1,0,0,0,Basic - Accumulation of black mold-like substance in the interior of the ice machine.,2025-10-23,PASADENA YACHT & COUNTRY CLUB,GULFPORT,204
6212161,5,2025-10-22,2026-03-18,6,0,0,4,0,0,10,"Basic - - From initial inspection : Basic - Faucet/handle missing at plumbing fixture.
Hot water     - From follow-up inspection 2026-03-18: Hot water knowledge at hand handsink next to soda dispenser and ice bin not dispensing hot water.  **Time Extended**",2026-03-18,FIVE BUCKS DRINKERY,ST. PETERSBURG,58
6212169,1,2025-08-21,2025-08-21,0,0,1,1,0,0,1,"Basic - Accumulation of black/green mold-like substance in the interior of the ice machine/bin.

Manager cleaned during inspection. **Corrected On-Site**",2025-08-21,DUNKIN DONUTS,ST. PETERSBURG,267
6212307,1,2026-03-13,2026-03-13,1,0,0,1,0,0,1,"Basic - Accumulation of black/green mold-like substance in the interior of the ice machine/bin.
Interior of ice machine has accumulation of mold like substance. **Repeat Violation**",2026-03-13,HARVEY'S SANDWICH & SALADS,PALM HARBOR,63
6212397,1,2025-11-06,2025-11-06,1,2,2,0,0,1,1,"High Priority - Raw animal food stored over/not properly separated from ready-to-eat food.

Raw shell eggs stored above batter in refrigerator located near ice machine in kitchen.

Employee placed raw shell eggs on bottom shelf. **Corrected On-Site** **Warning**",2025-11-06,EL COCHILOCO TACOS AND MORE RESTAURANT,LARGO,190
6212430,1,2025-12-10,2025-12-10,0,0,0,1,0,0,1,"Basic - Accumulation of black/green mold-like substance in the interior of the ice machine/bin.

Interior of ice machine at front bar with black/brown slimy mold like substance",2025-12-10,BEAU N MO LLC,ST. PETERSBURG,156
6212463,2,2026-03-17,2026-03-27,0,2,0,0,0,0,0,"Basic - - From initial inspection : Basic - Clean glasses, cups, bowls, plates, pots and pans not stored inverted or in a protected manner.
-ice buckets by ice machine not inverted  **Warning**     - From follow-up inspection 2026-03-27:  **Time Extended**",2026-03-27,DEAD BOBS,ST. PETERSBURG,49
6212486,2,2025-09-11,2026-01-27,2,0,0,1,0,0,1,Basic - Unprotected ice machine in a customer/nonsecure area. Reach in cooler/freezers and ice machine in hallway leading to customer restrooms **Repeat Violation**,2026-01-27,CLUBHOUSE RESTAURANT,LARGO,108
6212545,1,2025-07-17,2025-07-17,1,0,0,1,0,0,1,Basic - Accumulation of black/green mold-like substance in the interior of the ice machine/bin. **Repeat Violation**,2025-07-17,CHUCK E CHEESE 436,CLEARWATER,302
6212558,1,2025-10-15,2025-10-15,0,0,0,1,0,0,1,"Basic - Accumulation of black/green mold-like substance in the interior of the ice machine/bin.
Interior soiled with black mold like substance.",2025-10-15,THE VINOY RESORT AND GOLF CLUB - EMPLOYEE CAFETERIA,ST. PETERSBURG,212
6212559,2,2025-11-25,2026-02-04,0,2,0,2,2,0,2,"Basic - - From initial inspection : Basic - Accumulation of black/green mold-like substance in the interior of the ice machine/bin.
Soiled with black and pink mold like substance.  **Warning**     - From follow-up inspection 2026-02-04:  **Time Extended**",2026-02-04,THE VINOY RESORT & GOLF CLUB - ELLIOTT ASTER & VERANDA BAR,ST. PETERSBURG,100
6212567,1,2025-12-15,2025-12-15,0,0,0,1,0,0,1,"Basic - Accumulation of black/green mold-like substance in the interior of the ice machine/bin.
Ice machine interior soiled with black milled like substance.",2025-12-15,FLANAGANS IRISH PUB,DUNEDIN,151
6212590,1,2025-12-15,2025-12-15,0,0,0,1,0,0,1,Basic - Accumulation of black/green mold-like substance in the interior of the ice machine/bin.,2025-12-15,CRESCENT OAKS GOLF COURSE,TARPON SPRINGS,151
6212598,3,2025-09-16,2026-03-06,3,4,4,3,0,0,3,Basic - - From initial inspection : Basic - Accumulation of black/green mold-like substance in the interior of the ice machine/bin. Employee cleaned  **Corrected On-Site** **Repeat Violation** **Warning**     - From follow-up inspection 2026-03-06:  **Time Extended**,2026-03-06,LIL BIT KUNTRY RESTAURANT,PINELLAS PARK,70
6212609,2,2025-09-29,2026-02-17,1,0,0,2,0,1,2,Basic - Accumulation of black/green mold-like substance in the interior of the ice machine/bin. **Repeat Violation**,2026-02-17,HUNGRY CRAB,LARGO,87
6212615,1,2026-02-04,2026-02-04,0,0,0,1,0,0,1,Basic - Accumulation of black/green mold-like substance in the interior of the ice machine/bin. Downstairs.,2026-02-04,CARAMBOLA,CLEARWATER,100
6212827,1,2025-08-29,2025-08-29,0,0,1,0,0,0,1,"Basic - Faucet/handle missing at plumbing fixture.
Hand sink next to ice machine has no running water coming out when the left hot water faucet knob is turned. Observed the cold water faucet knob working. Operator turned the water on to the faucet during the time of the inspection.  **Corrected On-Site**",2025-08-29,CIRCO PIZZERIA & ITALIAN KITCHEN,ST. PETERSBURG,259
6212832,1,2026-01-12,2026-01-12,0,0,1,1,0,1,0,"Basic - In-use ice scoop stored on soiled surface between uses.
-ice scoops stored in bucket with standing dirty water about an inch deep in the bottom of it making contact with the scoops.
The operator cleaned and sanitized the scoops and bucket.  **Corrected On-Site**",2026-01-12,DAIRY QUEEN,ST. PETERSBURG,123
6212854,1,2026-01-26,2026-01-26,0,0,1,1,0,0,1,Basic - Accumulation of black/green mold-like substance in the interior of the ice machine/bin. Plastic plate inside door. **Corrected On-Site**,2026-01-26,FLORIDIAN (THE),TREASURE ISLAND,109
6212866,1,2026-01-06,2026-01-06,0,0,0,1,1,0,1,"Basic - Accumulation of black/green mold-like substance in the interior of the ice machine/bin.
Interior of ice machine soiled with pink mold like substance.",2026-01-06,9 BANGKOK THAI RESTAURANT INC,ST PETERSBURG,129
