visit_id,business_name,city,inspection_date,inspection_type,violation_code,observation,ice_machine_mention,ice_keyword_found,license_number,license_id
13526219,LITTLE ITALY PIZZA SHOP,ST PETERSBURG,10/03/2025,Complaint Full,36-17-5,Basic - Floor tiles missing and/or in disrepair in back of kitchen causing hole and unfinished surface that's not easily cleanable.  **Repeat Violation**,NO,,6200003,2233783
13526219,LITTLE ITALY PIZZA SHOP,ST PETERSBURG,10/03/2025,Complaint Full,08B-38-4,"Basic - Food stored on floor. 
-pot of sauce, buckets of pepperoncinis in walk in cooler in kitchen 
- boxes of canned food in dry storage area
-boxes of mozzarella cheese in walk in cooler in outdoor shed.  **Repeat Violation**",NO,,6200003,2233783
13526219,LITTLE ITALY PIZZA SHOP,ST PETERSBURG,10/03/2025,Complaint Full,10-14-5,"Basic - Ice bucket stored on floor between uses.
Operator removed from floor and hung up inverted.  **Corrected On-Site** **Repeat Violation**",NO,,6200003,2233783
13526219,LITTLE ITALY PIZZA SHOP,ST PETERSBURG,10/03/2025,Complaint Full,10-08-5,Basic - Ice scoop handle in contact with ice in ice machine.,YES,ice machine,6200003,2233783
13526219,LITTLE ITALY PIZZA SHOP,ST PETERSBURG,10/03/2025,Complaint Full,22-16-4,Basic - Walk-in cooler interior and shelves have accumulation of grease and food residues.,NO,,6200003,2233783
13526219,LITTLE ITALY PIZZA SHOP,ST PETERSBURG,10/03/2025,Complaint Full,36-27-5,"Basic - Wall soiled with accumulated grease, and food debris in walk in cooler.",NO,,6200003,2233783
13526219,LITTLE ITALY PIZZA SHOP,ST PETERSBURG,10/03/2025,Complaint Full,29-03-4,Basic - Water from mop sink accumulating onto ground outside causing large puddle of standing water.,NO,,6200003,2233783
13526219,LITTLE ITALY PIZZA SHOP,ST PETERSBURG,10/03/2025,Complaint Full,21-07-4,"Basic - Wiping cloth chlorine sanitizing solution not at proper minimum strength, 10 ppm. 
Operator added chlorine sanitizer and retested at 50 PPM.",NO,,6200003,2233783
13526219,LITTLE ITALY PIZZA SHOP,ST PETERSBURG,10/03/2025,Complaint Full,22-02-4,"Intermediate - Food-contact surface soiled with food debris, mold-like substance or slime.
-Metal dough containers soiled with accumulation of grease and food debris 
-Soda nozzles soiled with black slime  **Repeat Violation**",NO,,6200003,2233783
13526219,LITTLE ITALY PIZZA SHOP,ST PETERSBURG,10/03/2025,Complaint Full,11-26-1,"Intermediate - No proof provided that food employees are informed of their responsibility to report to the person in charge information about their health and activities related to foodborne illnesses.
Two employees, one food handling, one cashiering and sanitizing tables lack proof of health reporting responsibility. 
Operator had employees sign Health reporting agreement.  **Corrected On-Site**",NO,,6200003,2233783
13526219,LITTLE ITALY PIZZA SHOP,ST PETERSBURG,10/03/2025,Complaint Full,53B-13-5,"Intermediate - Proof of required state approved employee training not available for some employees. To order approved program food safety material, call DBPR contracted provider: Florida Restaurant and Lodging Association (SafeStaff) 866-372-7233.
One female staff member engaging in food handling has no proof of training.",NO,,6200003,2233783
13459902,CHURCH'S CHICKEN #399,ST. PETERSBURG,07/16/2025,Complaint Full,23-24-4,Basic - Buildup of food debris/soil residue on equipment door handles. Door handle to walk-in cooler soiled.,NO,,6200009,3998470
13459902,CHURCH'S CHICKEN #399,ST. PETERSBURG,07/16/2025,Complaint Full,36-34-5,"Basic - Ceiling/ceiling tiles/vents soiled with accumulated food debris, grease, dust, or mold-like substance. Ceiling tiles and vents in dining room soiled.",NO,,6200009,3998470
13459902,CHURCH'S CHICKEN #399,ST. PETERSBURG,07/16/2025,Complaint Full,14-11-5,"Basic - Equipment in poor repair.

Reach-in freezer, across from fryers on cook line, with a a broken door due to the hinge being disconnected. When seated properly, the door remains sealed and closed. Employees currently not using the side of the freezer with the broken door.

Side door to the walk-in cooler with broken door handle.",NO,,6200009,3998470
13459902,CHURCH'S CHICKEN #399,ST. PETERSBURG,07/16/2025,Complaint Full,36-22-4,Basic - Floor area(s) covered with standing water. Standing water in dry storage area.,NO,,6200009,3998470
13459902,CHURCH'S CHICKEN #399,ST. PETERSBURG,07/16/2025,Complaint Full,36-73-4,"Basic - Floor soiled/has accumulation of debris.

Underneath fryers at cook-line.

Underneath front counter/cash register.

Floor inside walk-in cooler",NO,,6200009,3998470
13459902,CHURCH'S CHICKEN #399,ST. PETERSBURG,07/16/2025,Complaint Full,36-11-4,Basic - Floors not maintained smooth and durable. Cracked tile and exposed concrete in hallway past dry storage area.,NO,,6200009,3998470
13459902,CHURCH'S CHICKEN #399,ST. PETERSBURG,07/16/2025,Complaint Full,10-13-5,Basic - In-use ice bucket for ice machine located outside not stored in a protected manner between uses. Buckets not stored inverted and on top of hot water heater. Employee relocated. **Corrected On-Site**,YES,ice machine,6200009,3998470
13459902,CHURCH'S CHICKEN #399,ST. PETERSBURG,07/16/2025,Complaint Full,23-03-4,"Basic - Nonfood-contact surface soiled with grease, food debris, dirt, slime or dust. 

Spray handle at three compartment sink with heavy accumulation of food debris at the handle. 

Front of ovens across from fryers with build of debris.",NO,,6200009,3998470
13459902,CHURCH'S CHICKEN #399,ST. PETERSBURG,07/16/2025,Complaint Full,36-64-5,"Basic - Objectionable odors in bathroom or other areas of the establishment. 

Women's restroom smells from possible plumbing issues.",NO,,6200009,3998470
13459902,CHURCH'S CHICKEN #399,ST. PETERSBURG,07/16/2025,Complaint Full,33-16-4,Basic - Open dumpster lid. Employee closed lid during inspection. **Corrected On-Site**,NO,,6200009,3998470
13459902,CHURCH'S CHICKEN #399,ST. PETERSBURG,07/16/2025,Complaint Full,22-16-4,Basic - Reach-in cooler interior/shelves have accumulation of soil residues. Reach in cooler underneath ovens at cook-line soiled.,NO,,6200009,3998470
13459902,CHURCH'S CHICKEN #399,ST. PETERSBURG,07/16/2025,Complaint Full,29-20-5,"Basic - Standing water or very slow draining water in handwash sink, three-compartment sink, or mop sink. Handwash sink inside women's restroom slow draining with standing water.",NO,,6200009,3998470
13459902,CHURCH'S CHICKEN #399,ST. PETERSBURG,07/16/2025,Complaint Full,06-01-5,Basic - Time/temperature control for safety food thawed in an improper manner. Raw chicken commercially packaged observed thawing in three compartment sink in standing water. Discussed with employee who drained water and ran cool water over chicken. **Corrected On-Site**,NO,,6200009,3998470
13459902,CHURCH'S CHICKEN #399,ST. PETERSBURG,07/16/2025,Complaint Full,42-01-4,Basic - Wet mop not stored in a manner to allow the mop to dry. Mops stored in dry storage area with mop heads down and resting on the floor.,NO,,6200009,3998470
13459902,CHURCH'S CHICKEN #399,ST. PETERSBURG,07/16/2025,Complaint Full,50-17-3,High Priority - Operating with an expired Division of Hotels and Restaurants license. License expired 2/1/2025. **Admin Complaint**,NO,,6200009,3998470
13459902,CHURCH'S CHICKEN #399,ST. PETERSBURG,07/16/2025,Complaint Full,22-02-4,"Intermediate - Food-contact surface soiled with food debris, mold-like substance or slime. Interior of oven located across from fryers on cook-line soiled with old food debris.",NO,,6200009,3998470
10962506,CHATTAWAY DRIVE INN,ST PETERSBURG,07/21/2025,Complaint Full,32-02-4,Basic - All three doors left open other than during cleaning or maintenance. **Warning**,NO,,6200047,2233839
10962506,CHATTAWAY DRIVE INN,ST PETERSBURG,07/21/2025,Complaint Full,51-11-4,Basic - Carbon dioxide tanks in bar area not adequately secured. **Warning**,NO,,6200047,2233839
10962506,CHATTAWAY DRIVE INN,ST PETERSBURG,07/21/2025,Complaint Full,32-12-6,Basic - Covered waste receptacle not provided in women's and unisex bathroom. **Warning**,NO,,6200047,2233839
10962506,CHATTAWAY DRIVE INN,ST PETERSBURG,07/21/2025,Complaint Full,40-06-5,"Basic - Employee personal items stored in or above a food preparation area, food, clean equipment and utensils, or single-service items.
Employee personal bag stored on plates on bottom shelf of prep table next to reach-in cooler on cooks line.
Employee phone stored on meat slicer on prep table near three-compartment sink.
Employee removed phone and bag. Discussed cleaning and sanitizing meat slicer and plates. **Warning**",NO,,6200047,2233839
10962506,CHATTAWAY DRIVE INN,ST PETERSBURG,07/21/2025,Complaint Full,14-11-5,"Basic - Equipment in poor repair.

Shelf storing pots and pans in warewashing area  is rusted.
Torn gasket on left reach-in cooler door. **Repeat Violation** **Admin Complaint**",NO,,6200047,2233839
10962506,CHATTAWAY DRIVE INN,ST PETERSBURG,07/21/2025,Complaint Full,36-17-5,Basic - Floor tiles missing and/or in disrepair throughout kitchen area. **Warning**,NO,,6200047,2233839
10962506,CHATTAWAY DRIVE INN,ST PETERSBURG,07/21/2025,Complaint Full,36-11-4,Basic - Floors not maintained smooth and durable. **Warning**,NO,,6200047,2233839
10962506,CHATTAWAY DRIVE INN,ST PETERSBURG,07/21/2025,Complaint Full,08B-38-4,"Basic - Food stored on floor.

Five gallon container of pickles stored on floor in walk-in cooler.
Box of onion rings and sweet potato fries stored on floor in walk-in freezer.
Employee placed items on bottom shelf in walk-in cooler and walk-in freezer. **Corrected On-Site** **Warning**",NO,,6200047,2233839
10962506,CHATTAWAY DRIVE INN,ST PETERSBURG,07/21/2025,Complaint Full,36-68-5,Basic - Hood ventilation system inadequate as evidenced by grease accumulation on walls/ceiling. **Warning**,NO,,6200047,2233839
10962506,CHATTAWAY DRIVE INN,ST PETERSBURG,07/21/2025,Complaint Full,10-08-5,"Basic - Ice scoop handle in contact with ice in ice machine located at rear kitchen exit.
Employee removed ice scoop from ice. **Corrected On-Site** **Warning**",YES,ice machine,6200047,2233839
10962506,CHATTAWAY DRIVE INN,ST PETERSBURG,07/21/2025,Complaint Full,10-20-4,Basic - In-use tongs stored on equipment door handle between uses. **Warning**,NO,,6200047,2233839
10962506,CHATTAWAY DRIVE INN,ST PETERSBURG,07/21/2025,Complaint Full,23-03-4,"Basic - Nonfood-contact surface soiled with grease, food debris, dirt, slime or dust.
Mold-like substance on ceiling of walk-in cooler in bar area. **Repeat Violation** **Admin Complaint**",NO,,6200047,2233839
10962506,CHATTAWAY DRIVE INN,ST PETERSBURG,07/21/2025,Complaint Full,35B-05-4,"Basic - Outer openings not protected during operation and vermin and/or environmental cross contamination present.

No air curtains at bar outer opening.. Fly present in kitchen. **Warning**",NO,,6200047,2233839
10962506,CHATTAWAY DRIVE INN,ST PETERSBURG,07/21/2025,Complaint Full,22-16-4,Basic - Reach-in cooler on cooks line across from gas stove interior have accumulation of soil residues. **Warning**,NO,,6200047,2233839
10962506,CHATTAWAY DRIVE INN,ST PETERSBURG,07/21/2025,Complaint Full,36-22-4,Basic - Standing water covering corner floor on cooks line. **Warning**,NO,,6200047,2233839
10962506,CHATTAWAY DRIVE INN,ST PETERSBURG,07/21/2025,Complaint Full,08B-12-5,"Basic - Stored food not covered.
Cut lemons in bar area not covered.
Operator covered item. **Corrected On-Site** **Warning**",NO,,6200047,2233839
10962506,CHATTAWAY DRIVE INN,ST PETERSBURG,07/21/2025,Complaint Full,14-17-4,Basic - Walk-in cooler shelves with rust that has pitted the surface and walk-in cooler in bar area. **Repeat Violation** **Warning**,NO,,6200047,2233839
10962506,CHATTAWAY DRIVE INN,ST PETERSBURG,07/21/2025,Complaint Full,14-06-4,"Basic - Wood food-contact surface not properly sealed.
Wood used as a shelf to store pans of flour and wing sauce pans not sealed. Located at the end of cooks line. **Warning**",NO,,6200047,2233839
10962506,CHATTAWAY DRIVE INN,ST PETERSBURG,07/21/2025,Complaint Full,12A-07-5,"High Priority - Employee failed to wash hands before putting on gloves to initiate a task working with food.
Observed employee smoking outside of establishment enter kitchen, don gloves and begin touching fry baskets without first washing hands.
Discussed with operator proper hand-hygiene techniques. **Warning**",NO,,6200047,2233839
10962506,CHATTAWAY DRIVE INN,ST PETERSBURG,07/21/2025,Complaint Full,35A-02-7,"High Priority - Live, small flying insects found in kitchen. Fly did not land on food or food contact surfaces. **Warning**",NO,,6200047,2233839
10962506,CHATTAWAY DRIVE INN,ST PETERSBURG,07/21/2025,Complaint Full,50-17-3,"High Priority - Operating with an expired Division of Hotels and Restaurants license.
Establishment is open and operating. License expired 02/01/2025. **Admin Complaint**",NO,,6200047,2233839
10962506,CHATTAWAY DRIVE INN,ST PETERSBURG,07/21/2025,Complaint Full,03A-02-5,"High Priority - Time/temperature control for safety food cold held at greater than 41 degrees Fahrenheit.

From reach-in cooler on cooks line. Operator placed items in walk-in freezer. Rechecked items
a. coleslaw  (48F - Cold Holding); 40f
b. sliced tomatoes  (57F - Cold Holding); 45f
c. cut lettuce (68F - Cold Holding); 49f
d. raw beef patty (45F - Cold Holding) 34f **Corrective Action Taken** **Warning**",NO,,6200047,2233839
10962506,CHATTAWAY DRIVE INN,ST PETERSBURG,07/21/2025,Complaint Full,29-34-4,"High Priority - Vacuum breaker missing at hose bibb or on fitting/splitter added to hose bibb.
Water hose connected to water faucet at rear kitchen exit with a vacuum breaker. **Repeat Violation** **Admin Complaint**",NO,,6200047,2233839
10962506,CHATTAWAY DRIVE INN,ST PETERSBURG,07/21/2025,Complaint Full,31B-02-4,"Intermediate - No paper towels or mechanical hand drying device provided at handwash sink near three-compartment sink.
Employee provided paper towels. **Corrected On-Site** **Warning**",NO,,6200047,2233839
10962506,CHATTAWAY DRIVE INN,ST PETERSBURG,07/21/2025,Complaint Full,53B-01-5,"Intermediate - No proof of required state approved employee training provided for any employees. To order approved program food safety material, call DBPR contracted provider: Florida Restaurant and Lodging Association (SafeStaff) 866-372-7233. **Warning**",NO,,6200047,2233839
10962506,CHATTAWAY DRIVE INN,ST PETERSBURG,07/21/2025,Complaint Full,11-26-1,Intermediate - No proof provided that recently hired food employees are informed of their responsibility to report to the person in charge information about their health and activities related to foodborne illnesses. **Warning**,NO,,6200047,2233839
10962506,CHATTAWAY DRIVE INN,ST PETERSBURG,07/21/2025,Complaint Full,41-17-4,"Intermediate - Squeeze bottles located in warewashing and bar areas containing blue substance not labeled.
Employee labeled squeeze bottles soap. **Corrected On-Site** **Repeat Violation** **Admin Complaint**",NO,,6200047,2233839
10962506,CHATTAWAY DRIVE INN,ST PETERSBURG,07/21/2025,Complaint Full,45-05-4,Portable fire extinguisher missing from its designated location. For reporting purposes only.,NO,,6200047,2233839
13619078,CHATTAWAY DRIVE INN,ST PETERSBURG,02/11/2026,Complaint Full,51-11-4,"Basic - Carbon dioxide/helium tanks not adequately secured.
CO2 tanks underneath outside bar counter.  **Repeat Violation**",NO,,6200047,2233839
13619078,CHATTAWAY DRIVE INN,ST PETERSBURG,02/11/2026,Complaint Full,36-17-5,"Basic - Floor tiles missing and/or in disrepair.
Throughout the kitchen area.  **Repeat Violation**",NO,,6200047,2233839
13619078,CHATTAWAY DRIVE INN,ST PETERSBURG,02/11/2026,Complaint Full,08B-38-4,"Basic - Food stored on floor.
Buckets of pickles stored in floor inside walk in cooler.",NO,,6200047,2233839
13619078,CHATTAWAY DRIVE INN,ST PETERSBURG,02/11/2026,Complaint Full,14-69-4,"Basic - Ice buildup in reach-in freezer and/or walk-in freezer.
Observed on walk in freezer door frame.",NO,,6200047,2233839
13619078,CHATTAWAY DRIVE INN,ST PETERSBURG,02/11/2026,Complaint Full,35A-02-7,"High Priority - Live, small flying insects found
Observed 4 live bees landing on drainboard shelving racks above three compartment sink in outside bar area. 

6 live bees observed landing on lemonade, sweet tea, and unsweetened tea dispensers and flying into the nozzles stored outside at bar entrance area. Manager washed and sanitized the dispensers and nozzles. 

Observed 4 live flies fling around beer taps nozzle at end of the outside bar. Flies not landing on food or food contact surfaces.
 **Repeat Violation** **Warning**",NO,,6200047,2233839
13619078,CHATTAWAY DRIVE INN,ST PETERSBURG,02/11/2026,Complaint Full,50-17-3,"High Priority - Operating with an expired Division of Hotels and Restaurants license.
License expired on 2/1/2026. Discussed with person in charge.",NO,,6200047,2233839
13619078,CHATTAWAY DRIVE INN,ST PETERSBURG,02/11/2026,Complaint Full,22-02-4,"Intermediate - Food-contact surface soiled with food debris, mold-like substance or slime.
Food slicer soiled with dried food debris.",NO,,6200047,2233839
13619078,CHATTAWAY DRIVE INN,ST PETERSBURG,02/11/2026,Complaint Full,16-37-1,"Intermediate - No chemical test kit provided when using sanitizer at three-compartment sink/warewashing machine or wiping cloths.
No chlorine test kit observed.",NO,,6200047,2233839
13630953,CHATTAWAY DRIVE INN,ST PETERSBURG,02/20/2026,Complaint Full,36-17-5,"Basic - - From initial inspection : Basic - Floor tiles missing and/or in disrepair.
Throughout the kitchen area.  **Repeat Violation**     - From follow-up inspection 2026-02-20:  **Time Extended**",NO,,6200047,2233839
13630953,CHATTAWAY DRIVE INN,ST PETERSBURG,02/20/2026,Complaint Full,08B-38-4,"Basic - - From initial inspection : Basic - Food stored on floor.
Buckets of pickles stored in floor inside walk in cooler.     - From follow-up inspection 2026-02-20: Buckets of pickles stored in floor inside walk in cooler at the time of callback inspection.  **Time Extended**",NO,,6200047,2233839
13630953,CHATTAWAY DRIVE INN,ST PETERSBURG,02/20/2026,Complaint Full,14-69-4,"Basic - - From initial inspection : Basic - Ice buildup in reach-in freezer and/or walk-in freezer.
Observed on walk in freezer door frame.     - From follow-up inspection 2026-02-20:  **Time Extended**",NO,,6200047,2233839
13630953,CHATTAWAY DRIVE INN,ST PETERSBURG,02/20/2026,Complaint Full,22-02-4,"Intermediate - - From initial inspection : Intermediate - Food-contact surface soiled with food debris, mold-like substance or slime.
Food slicer soiled with dried food debris. 
     - From follow-up inspection 2026-02-20:  **Time Extended**",NO,,6200047,2233839
10936237,CABANAS COASTAL GRILL,CLEARWATER BEACH,08/11/2025,Routine - Food,10-20-4,Basic - In-use tongs stored on equipment door handle between uses. **Corrected On-Site**,NO,,6200070,7429884
10936237,CABANAS COASTAL GRILL,CLEARWATER BEACH,08/11/2025,Routine - Food,08B-39-4,Basic - Raw fruits/vegetables not washed prior to preparation. Romaine lettuce heads. **Corrected On-Site**,NO,,6200070,7429884
10936237,CABANAS COASTAL GRILL,CLEARWATER BEACH,08/11/2025,Routine - Food,22-41-4,High Priority - Dishmachine chlorine sanitizer not at proper minimum strength. Discontinue use of dishmachine for sanitizing and set up manual sanitization until dishmachine is repaired and sanitizing properly. 0 ppm.,NO,,6200070,7429884
13489144,CABANAS COASTAL GRILL,CLEARWATER BEACH,04/02/2026,Routine - Food,22-20-5,Basic - Accumulation of black/green mold-like substance in the interior of the ice machine/bin. Inside machine. **Corrected On-Site**,YES,ice machine,6200070,7429884
13489144,CABANAS COASTAL GRILL,CLEARWATER BEACH,04/02/2026,Routine - Food,12B-12-5,Basic - Employee drinking from an unenclosed beverage container in a food preparation/clean dishware area and the container does not have a dispensing mechanism to prevent hand contact with lip contact area of drink container. Cooks line. **Corrective Action Taken**,NO,,6200070,7429884
13489144,CABANAS COASTAL GRILL,CLEARWATER BEACH,04/02/2026,Routine - Food,08A-05-6,"High Priority - Raw animal food stored over/not properly separated from ready-to-eat food.
Cooked shrimp under raw shrimp in walk in cooler. **Corrected On-Site**",NO,,6200070,7429884
13489144,CABANAS COASTAL GRILL,CLEARWATER BEACH,04/02/2026,Routine - Food,03A-02-5,"High Priority - Time/temperature control for safety food cold held at greater than 41 degrees Fahrenheit. Butter 51f, item moved to walk in cooler. **Corrective Action Taken**",NO,,6200070,7429884
10901635,BURGER KING #1963,ST. PETERSBURG,09/15/2025,Routine - Food,22-08-4,"Basic - Interior of oven/microwave has accumulation of black substance/grease/food debris.

Oven to hold biscuits with old debris.",NO,,6200105,5423699
10915035,GIGIS RESTAURANT,TREASURE ISLAND,12/08/2025,Routine - Food,22-20-5,Basic - Accumulation of black/green mold-like substance in the interior of the ice machine/bin.,YES,ice machine,6200121,2233932
10915035,GIGIS RESTAURANT,TREASURE ISLAND,12/08/2025,Routine - Food,14-01-5,Basic - Bowl or other container with no handle used to dispense food. Portioning cups in seasoning bins in dry storage,NO,,6200121,2233932
10915035,GIGIS RESTAURANT,TREASURE ISLAND,12/08/2025,Routine - Food,08B-31-4,"Basic - Food stored in undrained ice.
Raw squid in untrained ice water in glass cooler",NO,,6200121,2233932
10915035,GIGIS RESTAURANT,TREASURE ISLAND,12/08/2025,Routine - Food,10-20-4,"Basic - In-use tongs stored on equipment door handle between uses.
Oven door handle on cook line",NO,,6200121,2233932
10915035,GIGIS RESTAURANT,TREASURE ISLAND,12/08/2025,Routine - Food,16-38-5,Basic - Inaccurate/damaged temperature and/or pressure gauge(s) on dishmachine.,NO,,6200121,2233932
10915035,GIGIS RESTAURANT,TREASURE ISLAND,12/08/2025,Routine - Food,23-03-4,"Basic - Nonfood-contact surface soiled with grease, food debris, dirt, slime or dust.
Deli cooler gaskets soiled on cook line",NO,,6200121,2233932
10915035,GIGIS RESTAURANT,TREASURE ISLAND,12/08/2025,Routine - Food,14-17-4,Basic - Walk-in cooler/freezer shelves with rust that has pitted the surface.,NO,,6200121,2233932
10915035,GIGIS RESTAURANT,TREASURE ISLAND,12/08/2025,Routine - Food,21-07-4,"Basic - Wiping cloth chlorine sanitizing solution not at proper minimum strength. Sanitizer bucket on cook line 200ppm, staff diluted 100ppm **Corrected On-Site**",NO,,6200121,2233932
13555633,ATHENS RESTAURANT,SAFETY HARBOR,03/25/2026,Routine - Food,23-24-4,"Basic - Buildup of food debris/soil residue on equipment door handles.
White refrigerator in kitchen, chest freezers **Repeat Violation**",NO,,6200165,8917203
13555633,ATHENS RESTAURANT,SAFETY HARBOR,03/25/2026,Routine - Food,36-73-4,"Basic - Floor soiled/has accumulation of debris.
Floors soiled cook line, prep areas, storage areas
Walls soiled cook line, prep area and storage area. **Repeat Violation**",NO,,6200165,8917203
13555633,ATHENS RESTAURANT,SAFETY HARBOR,03/25/2026,Routine - Food,23-03-4,"Basic - Nonfood-contact surface soiled with grease, food debris, dirt, slime or dust.
Dry storage shelving
Lower shelves of prep tables, exterior of bulk sugar bin.",NO,,6200165,8917203
